5679,633,24,0
23444,633,24,0
41513,633,24,0
3073,496,27,0
17587,1410,27,0
20744,496,27,1
35630,1410,27,0
38801,496,27,0
53764,1410,27,0
14287,1092,28,0
32257,1092,28,1
50356,1092,28,0
1977,435,29,0
5095,600,29,0
7452,726,29,0
10482,890,29,0
14629,1110,29,0
19603,435,29,0
22834,600,29,0
25288,726,29,0
28398,890,29,0
29880,970,29,0
32600,1110,29,0
37664,435,29,0
40902,600,29,0
43367,726,29,0
46475,890,29,0
47964,970,29,0
50703,1110,29,0
1151,394,30,0
1984,439,30,0
3564,520,30,0
5042,600,30,0
12525,1001,30,1
13685,1060,30,0
16076,1195,30,0
16861,1260,30,0
17547,1370,30,0
18774,394,30,0
19610,439,30,0
21251,520,30,0
22779,600,30,0
30468,1001,30,1
31646,1060,30,0
34083,1195,30,0
34881,1260,30,1
35583,1370,30,0
36827,394,30,0
37671,439,30,0
39314,520,30,0
40847,600,30,0
48549,1001,30,1
49735,1060,30,1
50784,1116,30,0
52195,1195,30,0
52650,1227,30,0
53008,1260,30,0
53716,1370,30,0
53917,345,30,0
8034,760,31,0
9662,849,31,0
25903,760,31,0
27558,849,31,0
43982,760,31,0
45637,849,31,0
149,346,32,0
2834,480,32,0
2883,485,32,0
5678,632,32,0
6350,670,32,0
7188,715,32,1
8264,775,32,0
9107,819,32,0
9650,845,32,0
9661,849,32,0
10481,890,32,0
10873,913,32,0
11144,928,32,0
11275,935,32,0
11411,941,32,0
12907,1020,32,0
15012,1135,32,0
17764,346,32,0
20488,480,32,0
20540,485,32,0
23443,632,32,0
24138,670,32,0
25019,715,32,0
26137,775,32,1
26986,819,32,1
27546,845,32,0
27557,849,32,0
28397,890,32,0
28794,913,32,0
29068,928,32,0
29200,935,32,0
29335,941,32,1
30856,1020,32,0
35816,346,32,0
38549,480,32,0
38601,485,32,0
41512,632,32,0
42209,670,32,0
43096,715,32,0
43143,715,32,0
44219,775,32,1
44964,810,32,0
45067,819,32,0
45098,820,32,0
45636,849,32,0
45704,853,32,0
46474,890,32,0
46875,913,32,1
47155,928,32,0
47290,935,32,1
47422,941,32,1
48942,1020,32,0
51101,1135,32,0
52828,1240,32,0
53918,345,32,0
543,364,33,0
888,381,33,0
10784,906,33,0
11334,939,33,0
12536,1003,33,0
12778,1017,33,0
13907,1074,33,0
15088,1140,33,0
16180,1200,33,0
16419,1216,33,0
16607,1235,33,0
16827,1258,33,0
16983,1275,33,0
17526,1365,33,0
18164,364,33,0
18513,381,33,0
28701,906,33,1
29258,939,33,1
30480,1003,33,0
30727,1017,33,1
31871,1074,33,1
33074,1140,33,0
34188,1200,33,0
34429,1216,33,0
34623,1235,33,0
34847,1258,33,0
35004,1275,33,0
35562,1365,33,0
36216,364,33,0
36565,381,33,0
46779,906,33,0
47346,939,33,1
48560,1003,33,0
48815,1017,33,1
49962,1074,33,0
51178,1140,33,0
52305,1200,33,1
52551,1216,33,0
52746,1235,33,0
52975,1258,33,0
53131,1275,33,0
53694,1365,33,0
148,346,34,0
2370,458,34,0
3523,519,34,0
4070,545,34,0
4748,585,34,0
5476,621,34,0
5876,645,34,0
6431,675,34,0
7596,735,34,1
8416,781,34,0
8872,806,34,0
9242,825,34,0
10083,872,34,0
10790,908,34,0
12083,980,34,0
13088,1031,34,0
13903,1073,34,0
14581,1110,34,0
17763,346,34,0
20011,458,34,0
21210,519,34,0
21765,545,34,0
22472,585,34,0
23232,621,34,0
23650,645,34,0
24222,675,34,0
25444,735,34,1
26286,781,34,0
26744,806,34,0
27124,825,34,1
27988,872,34,1
28707,908,34,0
30019,980,34,1
31042,1031,34,1
31868,1073,34,0
32552,1110,34,1
35815,346,34,0
38069,458,34,0
39273,519,34,0
39832,545,34,0
40538,585,34,0
41304,621,34,1
41718,645,34,0
42294,675,34,0
43522,735,34,0
44370,781,34,0
44826,806,34,0
45204,825,34,0
